Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
01/31/08,"888,49",,"-79,44","-8,21","1.156,19","30,71",,"888,49","888,49"
12/31/07,"967,93",,"4,06","0,42","1.257,16","42,12",,"967,93","967,93"
11/30/07,"963,86",,"-17,05","-1,74","1.250,07","41,32",,"963,86","963,86"
10/31/07,"980,91",,"40,68","4,33","1.267,65","43,31",,"980,91","980,91"
09/28/07,"940,23",,"31,11","3,42","1.213,09","37,14",,"940,23","940,23"
08/31/07,"909,13",,"19,19","2,16","1.171,15","32,40",,"909,13","909,13"
07/31/07,"889,94",,"-37,94","-4,09","1.143,40","29,26",,"889,94","889,94"
06/29/07,"927,88",,"-25,63","-2,69","1.189,58","34,48",,"927,88","927,88"
05/31/07,"953,51",,"39,36","4,31","1.215,65","37,43",,"953,51","953,51"
04/30/07,"914,15",,"18,83","2,10","1.159,35","31,06",,"914,15","914,15"
03/30/07,"895,32",,"18,39","2,10","1.129,62","27,70",,"895,32","895,32"
02/28/07,"876,93",,"-1,65","-0,19","1.104,36","24,85",,"876,93","876,93"
01/31/07,"878,58",,"15,98","1,85","1.105,07","24,93",,"878,58","878,58"
12/29/06,"862,60",,"31,06","3,73","1.082,74","22,40",,"862,60","862,60"
11/30/06,"831,54",,"12,54","1,53","1.042,14","17,81",,"831,54","831,54"
10/31/06,"818,99",,"31,93","4,06","1.022,64","15,61",,"818,99","818,99"
09/29/06,"787,06",,"23,92","3,13","981,11","10,91",,"787,06","787,06"
08/31/06,"763,14",,"17,27","2,32","949,71","7,36",,"763,14","763,14"
07/31/06,"745,87",,"17,62","2,42","925,87","4,67",,"745,87","745,87"
06/30/06,"728,25",,"5,70","0,79","901,04","1,86",,"728,25","728,25"
05/31/06,"722,55",,"-15,31","-2,07","889,22","0,53",,"722,55","722,55"
04/28/06,"737,86",,"1,65","0,22","900,46","1,80",,"737,86","737,86"
03/31/06,"736,20",,"5,86","0,80","893,51","1,01",,"736,20","736,20"
02/28/06,"730,35",,,,"884,57",,,"730,35","730,35"
