Symbol;Name;Stock Exchange;Sec Type;Date of first trade ;Date (RT Last);Avg Daily Price (LOCAL);Curncy Iso;Market Value in millions ;FR RBICS Name Sector;ISIN;Average Daily Volume;Trading Value Local;Trading Value EUR;Filter
598140;Realia AB;OMX NORDIC STOCKHOLM;SHARE;06-03-1992;26-06-2002;;SEK;;Real Estate;SE0000193286;;;;FJERN
598193;AU-System AB;OMX NORDIC STOCKHOLM;SHARE;21-06-2000;19-02-2002;;SEK;;Hardware;SE0000674509;;;;FJERN
598233;Scandinavia Online Sek1;OMX NORDIC STOCKHOLM;SHARE;07-06-2000;11-01-2002;;SEK;;Telecommunications;SE0000673907;;;;FJERN
598468;Resco Ab Ser'B'Sek0.50;OMX NORDIC STOCKHOLM;SHARE;31-10-1996;13-04-2006;;SEK;;Software and Consulting;SE0000262446;;;;FJERN
598763;Ependion AB;OMX NORDIC STOCKHOLM;SHARE;08-06-2000;13-05-2026;61,2;SEK;3.633,2;Hardware;SE0000671711;18.004,0;1102300,121;97548,68329;FJERN
599089;Netonnet Ab;OMX NORDIC STOCKHOLM;SHARE;15-06-2000;01-04-2011;70,6;SEK;;Food and Staples Retail;SE0000657140;4.277,9;302124;26736,63717;FJERN
599302;Axis AB;OMX NORDIC STOCKHOLM;SHARE;27-06-2000;13-11-2018;221,2;SEK;;Hardware;SE0000672354;113.217,1;25042841,32;2216180,648;BEHOLD
599815;Micro Holding Ab Npv;OMX NORDIC STOCKHOLM;SHARE;20-06-2000;11-05-2009;0,1;SEK;;Software and Consulting;SE0000685828;12.935,2;755,7563975;66,88109713;FJERN
599975;North Media A/S;OMX NORDIC COPENHAGEN;SHARE;04-06-1997;13-05-2026;38,2;DKK;859,8;Industrial Services;DK0010270347;16.138,5;616572,0644;82761,35093;FJERN
702197;Strategic Investments A/S Class A;OMX NORDIC COPENHAGEN;SHARE;29-01-2001;13-05-2026;1,2;DKK;286,8;Investment Services;DK0010271238;53.347,6;64396,00673;8643,759292;FJERN
702313;Cisl Gruppen Ab Npv;OMX NORDIC STOCKHOLM;SHARE;17-01-2001;12-02-2008;;SEK;;Telecommunications;SE0000682205;;;;FJERN
703252;Alliance Oil Company Ltd Shs Swedish depository receipt;OMX NORDIC STOCKHOLM;DR;30-01-2001;16-12-2013;79,7;SEK;;Downstream and Midstream Energy;SE0000739286;697.867,4;55609968,53;4921236,153;FJERN
704671;Dimension AB;OMX NORDIC STOCKHOLM;SHARE;20-02-2001;20-02-2004;;SEK;;Software and Consulting;SE0000721433;;;;FJERN
705707;Thrane & Thrane;OMX NORDIC COPENHAGEN;SHARE;06-03-2001;26-07-2012;238,8;DKK;;Hardware;DK0010279215;10.869,1;2595256,969;348356,6401;BEHOLD
710326;Studsvik AB;OMX NORDIC STOCKHOLM;SHARE;04-05-2001;13-05-2026;73,5;SEK;2.202,6;Business Services;SE0000653230;12.253,3;900430,0742;79684,07736;FJERN
710364;Proffice AB Class B;OMX NORDIC STOCKHOLM;SHARE;11-10-1999;19-02-2016;23,1;SEK;;Business Services;SE0000470700;123.116,5;2846764,965;251926,1031;BEHOLD
710480;Svenska Orient Lin Ser'B'Sek5;OMX NORDIC STOCKHOLM;SHARE;30-10-1997;06-06-2003;;SEK;;Industrial Services;;;;;FJERN
710635;NKT A/S;OMX NORDIC COPENHAGEN;SHARE;02-01-1985;13-05-2026;224,0;DKK;42.680,2;Industrial Manufacturing;DK0010287663;152.178,9;34093612,91;4576323,881;BEHOLD
710809;Decim Ab Ser'B'Sek0.50;OMX NORDIC STOCKHOLM;SHARE;09-07-1998;18-12-2002;;SEK;;Healthcare Equipment;SE0000591844;;;;FJERN
711676;IC Group A/S;OMX NORDIC COPENHAGEN;SHARE;09-05-2001;02-08-2019;60,3;DKK;;Consumer Goods;DK0010221803;14.138,8;852739,5508;114461,6847;BEHOLD
712643;Codan AS;OMX NORDIC COPENHAGEN;SHARE;29-03-1988;30-07-2007;;DKK;;Insurance;DK0010288638;;;;FJERN
712644;Danske Traelast;OMX NORDIC COPENHAGEN;SHARE;07-08-1987;16-07-2003;;DKK;;Industrial Services;DK0010287903;;;;FJERN
712957;SAS AB;OMX NORDIC STOCKHOLM;SHARE;13-12-1988;13-08-2024;9,0;SEK;;Industrial Services;SE0003366871;22.148.600,0;199845045,9;17685402,29;BEHOLD
713279;Netop Solutions A/S;OMX NORDIC COPENHAGEN;SHARE;20-06-2001;30-08-2013;11,6;DKK;;Software and Consulting;DK0010288125;2.598,6;30184,45899;4051,605233;FJERN
713825;Epsilon AB Class B;OMX NORDIC STOCKHOLM;SHARE;14-06-2001;17-04-2003;;SEK;;Software and Consulting;SE0000809741;;;;FJERN
714209;Skanska AB Class B;OMX NORDIC STOCKHOLM;SHARE;27-08-1987;13-05-2026;166,3;SEK;104.444,1;Industrial Services;SE0000113250;1.282.024,0;213233282,8;18870202,02;BEHOLD
714888;Pergo Ab Npv;OMX NORDIC STOCKHOLM;SHARE;19-06-2001;30-03-2007;50,0;SEK;;Household Products;SE0000809881;0,0;0;0;FJERN
718228;Icm Kungsholms Ab Npv;OMX NORDIC STOCKHOLM;SHARE;10-10-2001;29-12-2010;16,7;SEK;;Industrial Services;SE0000809501;1.543,7;25831,86925;2286,006128;FJERN
718322;Cision AB;OMX NORDIC STOCKHOLM;SHARE;10-09-1998;22-08-2014;47,6;SEK;;Business Services;SE0000291486;25.531,4;1216053,026;107615,312;BEHOLD
718762;Orron Energy AB;OMX NORDIC STOCKHOLM;SHARE;06-09-2001;13-05-2026;5,2;SEK;1.316,9;Utilities;SE0000825820;1.643.375,0;8480702,423;750504,6392;BEHOLD
719884;Glocalnet Ab;OMX NORDIC STOCKHOLM;SHARE;28-08-2001;28-04-2006;;SEK;;Telecommunications;SE0000835159;;;;FJERN
720673;Sigma AB Class B;OMX NORDIC STOCKHOLM;SHARE;28-09-2001;21-05-2013;5,4;SEK;;Software and Consulting;SE0000835217;135.688,5;732146,9228;64791,76308;FJERN
