Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
09/27/07,"943,89",,"2,17","0,23","1.217,81","37,67",,"943,89","943,89"
09/28/07,"940,23",,"-3,66","-0,39","1.213,09","37,14",,"940,23","940,23"
10/01/07,"946,79",,"6,55","0,70","1.221,55","38,10",,"946,79","946,79"
10/02/07,"943,71",,"-3,08","-0,33","1.217,58","37,65",,"943,71","943,71"
10/03/07,"939,50",,"-4,21","-0,45","1.212,14","37,03",,"939,50","939,50"
10/04/07,"940,14",,"0,64","0,07","1.212,97","37,13",,"940,14","940,14"
10/05/07,"945,49",,"5,36","0,57","1.221,49","38,09",,"945,49","945,49"
10/08/07,"941,21",,"-4,28","-0,45","1.215,96","37,46",,"941,21","941,21"
10/09/07,"949,54",,"8,33","0,89","1.226,75","38,68",,"949,54","949,54"
10/10/07,"946,39",,"-3,15","-0,33","1.222,76","38,23",,"946,39","946,39"
10/11/07,"957,74",,"11,34","1,20","1.237,41","39,89",,"957,74","957,74"
10/12/07,"962,58",,"4,84","0,51","1.243,67","40,60",,"962,58","962,58"
10/15/07,"954,74",,"-7,85","-0,82","1.233,55","39,45",,"954,74","954,74"
10/16/07,"954,05",,"-0,69","-0,07","1.232,76","39,36",,"954,05","954,05"
10/17/07,"956,87",,"2,82","0,30","1.236,41","39,78",,"956,87","956,87"
10/18/07,"956,84",,"-0,04","0,00","1.236,38","39,77",,"956,84","956,84"
10/19/07,"947,87",,"-8,96","-0,94","1.224,80","38,46",,"947,87","947,87"
10/22/07,"946,66",,"-1,21","-0,13","1.223,33","38,30",,"946,66","946,66"
10/23/07,"951,76",,"5,10","0,54","1.229,92","39,04",,"951,76","951,76"
10/24/07,"950,40",,"-1,36","-0,14","1.228,15","38,84",,"950,40","950,40"
10/25/07,"964,95",,"14,55","1,53","1.246,95","40,97",,"964,95","964,95"
10/26/07,"974,76",,"9,81","1,02","1.259,63","42,40",,"974,76","974,76"
10/29/07,"979,64",,"4,89","0,50","1.265,99","43,12",,"979,64","979,64"
10/30/07,"973,86",,"-5,78","-0,59","1.258,54","42,28",,"973,86","973,86"
10/31/07,"980,91",,"7,05","0,72","1.267,65","43,31",,"980,91","980,91"
11/01/07,"967,06",,"-13,85","-1,41","1.249,88","41,30",,"967,06","967,06"
11/02/07,"970,63",,"3,57","0,37","1.254,49","41,82",,"970,63","970,63"
11/05/07,"972,24",,"1,61","0,17","1.256,65","42,06",,"972,24","972,24"
11/06/07,"974,24",,"2,00","0,21","1.259,23","42,36",,"974,24","974,24"
11/07/07,"962,13",,"-12,11","-1,24","1.243,75","40,61",,"962,13","962,13"
11/08/07,"961,32",,"-0,81","-0,08","1.242,70","40,49",,"961,32","961,32"
11/09/07,"953,26",,"-8,07","-0,84","1.232,36","39,32",,"953,26","953,26"
11/12/07,"947,38",,"-5,87","-0,62","1.224,77","38,46",,"947,38","947,38"
11/13/07,"958,05",,"10,67","1,13","1.238,74","40,04",,"958,05","958,05"
11/14/07,"956,53",,"-1,52","-0,16","1.238,00","39,96",,"956,53","956,53"
11/15/07,"955,54",,"-0,99","-0,10","1.236,72","39,81",,"955,54","955,54"
11/16/07,"959,95",,"4,41","0,46","1.242,43","40,46",,"959,95","959,95"
11/19/07,"951,70",,"-8,25","-0,86","1.232,41","39,32",,"951,70","951,70"
11/20/07,"957,68",,"5,98","0,63","1.240,16","40,20",,"957,68","957,68"
11/21/07,"941,45",,"-16,24","-1,70","1.220,39","37,96",,"941,45","941,45"
11/23/07,"948,82",,"7,37","0,78","1.229,95","39,05",,"948,82","948,82"
11/26/07,"941,97",,"-6,85","-0,72","1.221,12","38,05",,"941,97","941,97"
11/27/07,"942,10",,"0,14","0,01","1.221,33","38,07",,"942,10","942,10"
11/28/07,"955,52",,"13,42","1,42","1.239,21","40,09",,"955,52","955,52"
11/29/07,"958,83",,"3,31","0,35","1.243,50","40,58",,"958,83","958,83"
11/30/07,"963,86",,"5,03","0,52","1.250,07","41,32",,"963,86","963,86"
12/03/07,"965,65",,"1,78","0,18","1.252,44","41,59",,"965,65","965,65"
12/04/07,"967,21",,"1,56","0,16","1.254,46","41,82",,"967,21","967,21"
12/05/07,"979,95",,"12,75","1,32","1.271,18","43,71",,"979,95","979,95"
12/06/07,"979,62",,"-0,34","-0,03","1.270,94","43,68",,"979,62","979,62"
12/07/07,"981,11",,"1,49","0,15","1.272,91","43,90",,"981,11","981,11"
12/10/07,"978,35",,"-2,75","-0,28","1.269,37","43,50",,"978,35","978,35"
12/11/07,"974,85",,"-3,51","-0,36","1.264,82","42,99",,"974,85","974,85"
12/12/07,"981,15",,"6,30","0,65","1.273,07","43,92",,"981,15","981,15"
12/13/07,"972,00",,"-9,15","-0,93","1.261,23","42,58",,"972,00","972,00"
12/14/07,"970,02",,"-1,97","-0,20","1.258,67","42,29",,"970,02","970,02"
12/17/07,"958,77",,"-11,25","-1,16","1.244,21","40,66",,"958,77","958,77"
12/18/07,"962,36",,"3,58","0,37","1.248,90","41,19",,"962,36","962,36"
12/19/07,"957,11",,"-5,25","-0,55","1.242,21","40,43",,"957,11","957,11"
12/20/07,"959,24",,"2,13","0,22","1.244,97","40,74",,"959,24","959,24"
12/21/07,"970,73",,"11,49","1,20","1.260,16","42,46",,"970,73","970,73"
12/24/07,"971,51",,"0,78","0,08","1.261,60","42,62",,"971,51","971,51"
12/26/07,"973,77",,"2,27","0,23","1.264,57","42,96",,"973,77","973,77"
12/27/07,"972,55",,"-1,23","-0,13","1.263,16","42,80",,"972,55","972,55"
