Price History: 990100,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
08/29/16,"1.308,63",,"5,60","0,43","5.105,05","72,62",,"1.308,63","1.308,63"
08/30/16,"1.308,61",,"-0,02","0,00","5.105,47","72,63",,"1.308,61","1.308,61"
08/31/16,"1.306,57",,"-2,04","-0,16","5.098,16","72,38",,"1.306,57","1.306,57"
09/01/16,"1.306,78",,"0,21","0,02","5.099,27","72,42",,"1.306,78","1.306,78"
09/02/16,"1.316,33",,"9,55","0,73","5.136,72","73,69",,"1.316,33","1.316,33"
09/05/16,"1.317,41",,"1,09","0,08","5.140,99","73,83",,"1.317,41","1.317,41"
09/06/16,"1.318,93",,"1,52","0,12","5.147,11","74,04",,"1.318,93","1.318,93"
09/07/16,"1.320,04",,"1,11","0,08","5.152,34","74,22",,"1.320,04","1.320,04"
09/08/16,"1.317,39",,"-2,65","-0,20","5.142,33","73,88",,"1.317,39","1.317,39"
09/09/16,"1.293,84",,"-23,55","-1,79","5.050,52","70,77",,"1.293,84","1.293,84"
09/12/16,"1.298,74",,"4,90","0,38","5.069,82","71,43",,"1.298,74","1.298,74"
09/13/16,"1.284,16",,"-14,58","-1,12","5.013,93","69,54",,"1.284,16","1.284,16"
09/14/16,"1.282,96",,"-1,20","-0,09","5.009,50","69,39",,"1.282,96","1.282,96"
09/15/16,"1.291,68",,"8,72","0,68","5.044,09","70,56",,"1.291,68","1.291,68"
09/16/16,"1.287,75",,"-3,93","-0,30","5.028,78","70,04",,"1.287,75","1.287,75"
09/19/16,"1.291,72",,"3,97","0,31","5.044,60","70,57",,"1.291,72","1.291,72"
09/20/16,"1.292,83",,"1,11","0,09","5.049,04","70,72",,"1.292,83","1.292,83"
09/21/16,"1.305,85",,"13,03","1,01","5.100,16","72,45",,"1.305,85","1.305,85"
09/22/16,"1.316,19",,"10,34","0,79","5.140,93","73,83",,"1.316,19","1.316,19"
09/23/16,"1.310,19",,"-6,01","-0,46","5.117,48","73,04",,"1.310,19","1.310,19"
09/26/16,"1.297,42",,"-12,76","-0,97","5.067,94","71,36",,"1.297,42","1.297,42"
09/27/16,"1.302,63",,"5,21","0,40","5.088,67","72,06",,"1.302,63","1.302,63"
09/28/16,"1.307,53",,"4,89","0,38","5.112,78","72,88",,"1.307,53","1.307,53"
09/29/16,"1.302,70",,"-4,83","-0,37","5.094,01","72,24",,"1.302,70","1.302,70"
09/30/16,"1.306,85",,"4,15","0,32","5.110,39","72,80",,"1.306,85","1.306,85"
10/03/16,"1.306,53",,"-0,32","-0,02","5.109,51","72,77",,"1.306,53","1.306,53"
10/04/16,"1.306,21",,"-0,32","-0,02","5.108,53","72,73",,"1.306,21","1.306,21"
10/05/16,"1.309,18",,"2,97","0,23","5.121,47","73,17",,"1.309,18","1.309,18"
10/06/16,"1.309,19",,"0,01","0,00","5.121,79","73,18",,"1.309,19","1.309,19"
