Price History: 106803,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
07/31/09,"67,69",,"4,96","7,91","72,47","-12,35",,"67,69","67,69"
06/30/09,"62,73",,"1,95","3,20","67,11","-18,83",,"62,73","62,73"
05/29/09,"60,79",,"1,51","2,54","65,02","-21,36",,"60,79","60,79"
04/30/09,"59,28",,"6,55","12,43","63,26","-23,49",,"59,28","59,28"
03/31/09,"52,73",,"5,04","10,57","56,17","-32,06",,"52,73","52,73"
02/27/09,"47,68",,"-2,33","-4,67","50,73","-38,64",,"47,68","47,68"
01/30/09,"50,02",,"-1,68","-3,26","53,11","-35,77",,"50,02","50,02"
12/31/08,"51,70",,"0,73","1,44","54,88","-33,62",,"51,70","51,70"
11/28/08,"50,97",,"-5,76","-10,16","54,05","-34,63",,"50,97","50,97"
10/31/08,"56,73",,"-13,06","-18,72","60,05","-27,37",,"56,73","56,73"
09/30/08,"69,80",,"-11,88","-14,54","73,85","-10,68",,"69,80","69,80"
08/29/08,"81,67",,"1,15","1,43","86,31","4,39",,"81,67","81,67"
07/31/08,"80,52",,"-0,86","-1,06","85,00","2,80",,"80,52","80,52"
06/30/08,"81,38",,"-8,28","-9,23","85,88","3,87",,"81,38","81,38"
05/30/08,"89,66",,"4,59","5,40","94,56","14,37",,"89,66","89,66"
04/30/08,"85,07",,"6,22","7,89","89,51","8,26",,"85,07","85,07"
03/31/08,"78,85",,"-1,46","-1,82","82,90","0,27",,"78,85","78,85"
02/29/08,"80,31",,"-2,54","-3,06","84,32","1,98",,"80,31","80,31"
01/31/08,"82,85",,"-11,85","-12,51","86,88","5,08",,"82,85","82,85"
12/31/07,"94,70",,"0,51","0,54","99,29","20,09",,"94,70","94,70"
11/30/07,"94,19",,"-7,38","-7,26","98,71","19,39",,"94,19","94,19"
10/31/07,"101,57",,"4,76","4,92","106,35","28,63",,"101,57","101,57"
09/28/07,"96,81",,"3,07","3,27","101,35","22,58",,"96,81","96,81"
08/31/07,"93,74",,"2,07","2,26","98,07","18,62",,"93,74","93,74"
07/31/07,"91,67",,"-0,84","-0,91","95,81","15,88",,"91,67","91,67"
06/29/07,"92,51",,"1,38","1,51","96,66","16,91",,"92,51","92,51"
05/31/07,"91,14",,"3,14","3,56","95,19","15,13",,"91,14","91,14"
04/30/07,"88,00",,"3,96","4,71","91,71","10,93",,"88,00","88,00"
03/30/07,"84,04",,"0,49","0,59","87,53","5,86",,"84,04","84,04"
02/28/07,"83,55",,"-2,29","-2,67","86,94","5,15",,"83,55","83,55"
01/31/07,"85,84",,"1,14","1,35","89,24","7,94",,"85,84","85,84"
12/29/06,"84,70",,"0,31","0,37","88,04","6,49",,"84,70","84,70"
11/30/06,"84,38",,"2,13","2,59","87,68","6,04",,"84,38","84,38"
10/31/06,"82,26",,"2,60","3,27","85,40","3,29",,"82,26","82,26"
09/29/06,"79,65",,"2,68","3,48","82,68","0,00",,"79,65","79,65"
08/31/06,"76,98",,"5,21","7,26","79,84","-3,44",,"76,98","76,98"
07/31/06,"71,77",,"-2,58","-3,47","74,35","-10,07",,"71,77","71,77"
06/30/06,"74,35",,"-0,87","-1,16","77,02","-6,85",,"74,35","74,35"
05/31/06,"75,22",,"-6,15","-7,55","77,89","-5,80",,"75,22","75,22"
04/28/06,"81,36",,"-1,05","-1,27","84,15","1,77",,"81,36","81,36"
03/31/06,"82,41",,"2,30","2,88","85,18","3,02",,"82,41","82,41"
02/28/06,"80,11",,,,"82,68",,,"80,11","80,11"
